date,value,campus
2024-12-09,94.93,paschal
2024-12-09,93.68,rose_garden
2024-12-09,93.64,schertz
2024-12-09,94.07,sippel
2024-12-09,94.35,watts
2024-12-09,93.97,wiederstein
2024-12-09,94.07,jordan
2024-12-09,95.22,schlather
2024-12-09,92.05,wilder
2024-12-09,95.95,dobie
2024-12-09,93.38,corbett
2024-12-09,92.62,clemens
2024-12-09,94.32,b_steele
2024-12-09,68.54,als_elc
2024-12-09,92.6,district_avg
2024-12-16,94.39,cibolo_valley
2024-12-16,94.51,green_valley
2024-12-16,96,paschal
2024-12-16,94.12,rose_garden
2024-12-16,93.23,schertz
2024-12-16,93.54,sippel
2024-12-16,92.63,watts
2024-12-16,92.97,wiederstein
2024-12-16,91.86,jordan
2024-12-16,93.72,schlather
2024-12-16,92.58,wilder
2024-12-16,93.23,dobie
2024-12-16,94.26,corbett
2024-12-16,94.97,clemens
2024-12-16,92.45,b_steele
2024-12-16,53.2,als_elc
2024-12-16,91.1,district_avg
2025-01-07,93.57,cibolo_valley
2025-01-07,95.37,green_valley
2025-01-07,94.72,paschal
2025-01-07,92.31,rose_garden
2025-01-07,91.02,schertz
2025-01-07,94.23,sippel
2025-01-07,95.26,watts
2025-01-07,93.09,wiederstein
2025-01-07,93.27,jordan
2025-01-07,94.66,schlather
2025-01-07,92.2,wilder
2025-01-07,92.42,dobie
2025-01-07,91.08,corbett
2025-01-07,90.91,clemens
2025-01-07,92.94,b_steele
2025-01-07,71.36,als_elc
2025-01-07,91.78,district_avg
2025-01-13,93.53,cibolo_valley
2025-01-13,94.4,green_valley
2025-01-13,89.91,paschal
2025-01-13,92.18,rose_garden
2025-01-13,93.62,schertz
2025-01-13,91.64,sippel
2025-01-13,92.71,watts
2025-01-13,89.71,wiederstein
2025-01-13,93.5,jordan
2025-01-13,94.96,schlather
2025-01-13,92.84,wilder
2025-01-13,93.51,dobie
2025-01-13,92.5,corbett
2025-01-13,92.21,clemens
2025-01-13,93.07,b_steele
2025-01-13,68.64,als_elc
2025-01-13,91.18,district_avg
2025-01-21,91.61,cibolo_valley
2025-01-21,91.38,green_valley
2025-01-21,88.47,paschal
2025-01-21,90.03,rose_garden
2025-01-21,89.98,schertz
2025-01-21,85.08,sippel
2025-01-21,91.4,watts
2025-01-21,88.05,wiederstein
2025-01-21,91.12,jordan
2025-01-21,91.81,schlather
2025-01-21,88.24,wilder
2025-01-21,93.3,dobie
2025-01-21,91.34,corbett
2025-01-21,90.75,clemens
2025-01-21,92.29,b_steele
2025-01-21,68.92,als_elc
2025-01-21,88.99,district_avg
2025-01-27,92.41,cibolo_valley
2025-01-27,92,green_valley
2025-01-27,93.14,paschal
2025-01-27,89.75,rose_garden
2025-01-27,92.18,schertz
2025-01-27,91.83,sippel
2025-01-27,91.46,watts
2025-01-27,92,wiederstein
2025-01-27,91.79,jordan
2025-01-27,93.8,schlather
2025-01-27,92.02,wilder
2025-01-27,93.34,dobie
2025-01-27,93.24,corbett
2025-01-27,91.56,clemens
2025-01-27,92.66,b_steele
2025-01-27,71.43,als_elc
2025-01-27,90.91,district_avg
2025-02-03,92.13,cibolo_valley
2025-02-03,90.92,green_valley
2025-02-03,95.74,paschal
2025-02-03,92.03,rose_garden
2025-02-03,91.31,schertz
2025-02-03,94.51,sippel
2025-02-03,94.72,watts
2025-02-03,94.2,wiederstein
2025-02-03,92.39,jordan
2025-02-03,94.86,schlather
2025-02-03,92.86,wilder
2025-02-03,92.31,dobie
2025-02-03,92.02,corbett
2025-02-03,91.57,clemens
2025-02-03,92.81,b_steele
2025-02-03,69.51,als_elc
2025-02-03,91.49,district_avg
2025-02-10,92.12,cibolo_valley
2025-02-10,95.28,green_valley
2025-02-10,96.97,paschal
2025-02-10,93.4,rose_garden
2025-02-10,94.79,schertz
2025-02-10,95.19,sippel
2025-02-10,95.85,watts
2025-02-10,96.65,wiederstein
2025-02-10,94.69,jordan
2025-02-10,94.8,schlather
2025-02-10,93.75,wilder
2025-02-10,94.32,dobie
2025-02-10,91.79,corbett
2025-02-10,93.08,clemens
2025-02-10,93.69,b_steele
2025-02-10,71.03,als_elc
2025-02-10,92.96,district_avg
2025-02-18,91.88,cibolo_valley
2025-02-18,92.43,green_valley
2025-02-18,96.23,paschal
2025-02-18,92.28,rose_garden
2025-02-18,91.17,schertz
2025-02-18,93.61,sippel
2025-02-18,93.31,watts
2025-02-18,94.66,wiederstein
2025-02-18,94.32,jordan
2025-02-18,94.37,schlather
2025-02-18,92.87,wilder
2025-02-18,94.56,dobie
2025-02-18,91.24,corbett
2025-02-18,91.26,clemens
2025-02-18,91.89,b_steele
2025-02-18,71.38,als_elc
2025-02-18,91.72,district_avg
2025-02-24,93.2,cibolo_valley
2025-02-24,93.71,green_valley
2025-02-24,95.56,paschal
2025-02-24,93.29,rose_garden
2025-02-24,93.85,schertz
2025-02-24,93.42,sippel
2025-02-24,94.3,watts
2025-02-24,95.1,wiederstein
2025-02-24,94.52,jordan
2025-02-24,95.61,schlather
2025-02-24,93.13,wilder
2025-02-24,92.97,dobie
2025-02-24,93.97,corbett
2025-02-24,92.14,clemens
2025-02-24,92.93,b_steele
2025-02-24,69.78,als_elc
2025-02-24,92.34,district_avg
2025-03-03,93.76,cibolo_valley
2025-03-03,95.25,green_valley
2025-03-03,96.11,paschal
2025-03-03,94.43,rose_garden
2025-03-03,95.37,schertz
2025-03-03,94.33,sippel
2025-03-03,93.79,watts
2025-03-03,94.93,wiederstein
2025-03-03,94.45,jordan
2025-03-03,96,schlather
2025-03-03,93.63,wilder
2025-03-03,94.54,dobie
2025-03-03,93.9,corbett
2025-03-03,91.41,clemens
2025-03-03,93.21,b_steele
2025-03-03,69.43,als_elc
2025-03-03,92.78,district_avg
2025-03-10,92.49,cibolo_valley
2025-03-10,92.53,green_valley
2025-03-10,93.57,paschal
2025-03-10,91.22,rose_garden
2025-03-10,93.55,schertz
